No,Sumber,Halaman,Jumlah Karakter,Jumlah Kata,Dimensi Embedding,Norm Embedding,Preview Teks
1,11.Modern_IDS_IPS_Blueprint.pptx.pdf,1,112,14,384,1.0,Intrusion Detection System (IDS) & Intrusion Prevention System (IPS) Virtualisasi dan Keamanan Jaringan May 2026
2,11_regression_stat2.pdf,1,985,117,384,1.0,"Program Studi SistemInformasi| Informatika–STT Terpadu Nurul Fikri Data Mining Dr. SirojulMunir S.Si., M.Kom STT TerpaduNurul Fikri Program Studi SistemInformasi| Informatika–STT T..."
3,11_regression_stat2.pdf,1,995,134,384,1.0,"gorithm The goal of regression is to find a mathematical relationship between the input features and the target variable that can be used to make accurate predictions on new, unsee..."
4,11_regression_stat2.pdf,1,987,116,384,1.0,ang dalam periode tertentu Cyclicality Fluktuasi jangka panjang tanpa periode tetap Irregularity Variasi acak atau noise yang tidak terduga Program Studi SistemInformasi| Informati...
5,11_regression_stat2.pdf,1,987,110,384,1.0,"o / suara, monitoring tekanandarah Sinyalaudio Program Studi SistemInformasi| Informatika–STT Terpadu Nurul Fikri Time Series (DeretWaktu) •Time series dapatberupadata kontinuataud..."
6,11_regression_stat2.pdf,1,999,122,384,1.0,ime Series Program Studi SistemInformasi| Informatika–STT Terpadu Nurul Fikri AlgoritmaTime Series Program Studi SistemInformasi| Informatika–STT Terpadu Nurul Fikri AlgoritmaTime ...
7,11_regression_stat2.pdf,1,1000,165,384,1.0,ggunakan nilai-nilai sebelumnya (lag) sebagai prediktor. Yt = φ₁Yt-₁ + φ₂Yt-₂ + ... + φₚYt-ₚ + εt p = orde AR (jumlah lag) I(d) Integrated Proses differencing untuk membuat data me...
8,11_regression_stat2.pdf,1,999,168,384,1.0,"r model Program Studi SistemInformasi| Informatika–STT Terpadu Nurul Fikri TahapanPemodelan ARIMA 1 Uji Stasioneritas Uji ADF / KPSS. Jika tidak stasioner, lakukan differencing (d)..."
9,11_regression_stat2.pdf,1,971,161,384,1.0,") -0,2 0 0,2 0,4 0,6 0,8 1 Lag 0Lag 1Lag 2Lag 3Lag 4Lag 5Lag 6Lag 7Lag 8Lag 9 → Cut-off setelah lag 2: indikasi AR(2), pilih p=2 Aturan: ACF cut-off → tentukan q (MA order) | PACF ..."
10,11_regression_stat2.pdf,1,999,164,384,1.0,"nload('BBCA.JK', start= '2022-01-01', end='2024-01-01') data = df['Close'] # 2. Fit model ARIMA(2,1,2) model = ARIMA(data, order=(2,1,2)) result = model.fit() # 3. Forecast 30 hari..."
11,11_regression_stat2.pdf,1,996,139,384,1.0,RMSE 189.7 Rp Root Mean Square Error MAPE 1.52% Mean Absolute Percentage Error AIC -1842 Akaike Info Criterion MAPE 1.52% → Tingkat akurasi sangat baik (< 5%) untuk prediksi harga ...
12,11_regression_stat2.pdf,1,392,51,384,1.0,saham BBCA dengan MAPE 1.52%. Model ARIMA terbukti efektif sebagai metode baseline untuk time series finansial. Pengembangan ke SARIMA atau GARCH dapat meningkatkan akurasi lebih l...
13,2.Hypervisor.pdf,1,143,21,384,1.0,"Konsep dasar virtualisasi: Hypervisor Henry Saptono, S.Si, M.Kom Sekolah Tinggi Teknologi Terpadu Nurul Fikri March, 2026 Review Hypervisor END"
14,Dokumen_RAG_Akademik_STTNF.pdf,1,996,134,384,1.0,Dataset RAG Akademik STT-NF - versi lengkap untuk prototype chatbot DOKUMEN DATASET RAG INFORMASI AKADEMIK STT TERPADU NURUL FIKRI Versi lengkap untuk knowledge base prototype chat...
